"","sample_id","experiment","conc_level","conc","conc_unit","time_level","exposure_type","time","time_unit","acta2_log2fc","acta2_fc","acta2_pvalue","acta2_padj","col1a1_log2fc","col1a1_fc","col1a1_pvalue","col1a1_padj","Single_cell_necrosis","Necrosis","Necrosis_fibrinoid","Fibrosis"
"43","tg_rliver_repeat_acetamidofluorene_t5_c3","acetamidofluorene",3,300,"mg/kg",5,"repeat",4,"day",-0.261,0.834509281,0.048377635,0.25389603,-0.288,0.819036698,0.139282198,0.424859489,"no","yes","no","no"
"44","tg_rliver_repeat_acetamidofluorene_t6_c1","acetamidofluorene",1,30,"mg/kg",6,"repeat",8,"day",-0.034,0.976708529,0.799524011,0.915939124,0.25,1.189207115,0.28203852,0.569306784,"no","yes","no","no"
"45","tg_rliver_repeat_acetamidofluorene_t6_c2","acetamidofluorene",2,100,"mg/kg",6,"repeat",8,"day",0.139,1.101141598,0.456362935,0.633994131,0.305,1.235418637,0.005303437,0.038192654,NA,NA,NA,NA
"46","tg_rliver_repeat_acetamidofluorene_t6_c3","acetamidofluorene",3,300,"mg/kg",6,"repeat",8,"day",-0.039,0.973329374,0.765336778,0.872970093,0.388,1.308578071,0.001717826,0.033427812,NA,NA,NA,NA
"47","tg_rliver_repeat_acetamidofluorene_t7_c1","acetamidofluorene",1,30,"mg/kg",7,"repeat",15,"day",0.332,1.258757174,0.010274962,0.039520779,0.36,1.283425898,0.107683657,0.216767418,NA,NA,NA,NA
"48","tg_rliver_repeat_acetamidofluorene_t7_c2","acetamidofluorene",2,100,"mg/kg",7,"repeat",15,"day",0.189,1.139973273,0.229978215,0.384142466,0.455,1.370782805,0.169702584,0.314738188,NA,NA,NA,NA
"49","tg_rliver_repeat_acetamidofluorene_t7_c3","acetamidofluorene",3,300,"mg/kg",7,"repeat",15,"day",0.007,1.00486382,0.938856417,0.964040186,0.389,1.309485423,0.029494932,0.116169664,NA,NA,NA,NA
"50","tg_rliver_repeat_acetamidofluorene_t8_c1","acetamidofluorene",1,30,"mg/kg",8,"repeat",29,"day",1.048,2.067661472,0.031574867,0.11197867,1.158,2.231478645,0.117389705,0.2722765,NA,NA,NA,NA
"51","tg_rliver_repeat_acetamidofluorene_t8_c2","acetamidofluorene",2,100,"mg/kg",8,"repeat",29,"day",0.671,1.592176198,0.053789689,0.143008115,1.188,2.278366754,0.142634979,0.2697938,NA,NA,NA,NA
"52","tg_rliver_repeat_acetamidofluorene_t8_c3","acetamidofluorene",3,300,"mg/kg",8,"repeat",29,"day",0.474,1.388955136,0.007873223,0.032304325,0.06,1.042465761,0.848651435,0.895977353,NA,NA,NA,NA
"53","tg_rliver_repeat_acetaminophen_t5_c1","acetaminophen",1,300,"mg/kg",5,"repeat",4,"day",-0.059,0.959929261,0.81711023,0.986471984,-0.202,0.86934456,0.369509886,0.901023617,NA,NA,NA,NA
"54","tg_rliver_repeat_acetaminophen_t5_c2","acetaminophen",2,600,"mg/kg",5,"repeat",4,"day",-0.293,0.816203046,0.319163852,0.906943844,-0.389,0.763658749,0.098076663,0.86971975,"no","yes","no","no"
"55","tg_rliver_repeat_acetaminophen_t5_c3","acetaminophen",3,1000,"mg/kg",5,"repeat",4,"day",-0.314,0.804408371,0.356921656,0.746458465,-0.239,0.847332435,0.462660534,0.802394207,"no","yes","no","no"
"56","tg_rliver_repeat_acetaminophen_t6_c1","acetaminophen",1,300,"mg/kg",6,"repeat",8,"day",-0.019,0.986916546,0.83774365,0.999913074,-0.034,0.976708529,0.858265037,0.999913074,NA,NA,NA,NA
"57","tg_rliver_repeat_acetaminophen_t6_c2","acetaminophen",2,600,"mg/kg",6,"repeat",8,"day",-0.174,0.886381699,0.127712503,0.750533732,-0.301,0.811689581,0.138528495,0.764294215,NA,NA,NA,NA
"58","tg_rliver_repeat_acetaminophen_t6_c3","acetaminophen",3,1000,"mg/kg",6,"repeat",8,"day",-0.107,0.928516852,0.3632383,0.884281883,-0.412,0.751580739,0.047549269,0.640640419,"no","yes","no","no"
"59","tg_rliver_repeat_acetaminophen_t7_c1","acetaminophen",1,300,"mg/kg",7,"repeat",15,"day",0.01,1.00695555,0.931189462,0.998909238,-0.009,0.993781093,0.950891555,0.999165867,NA,NA,NA,NA
"60","tg_rliver_repeat_acetaminophen_t7_c2","acetaminophen",2,600,"mg/kg",7,"repeat",15,"day",-0.081,0.945402117,0.574659827,0.947302241,-0.52,0.697371833,0.009105168,0.425742985,NA,NA,NA,NA
"61","tg_rliver_repeat_acetaminophen_t7_c3","acetaminophen",3,1000,"mg/kg",7,"repeat",15,"day",-0.132,0.912565489,0.252380298,0.738175289,-0.412,0.751580739,0.003166473,0.136599495,NA,NA,NA,NA
"62","tg_rliver_repeat_acetaminophen_t8_c1","acetaminophen",1,300,"mg/kg",8,"repeat",29,"day",-0.096,0.935623498,0.383459493,0.896622127,0.083,1.059218335,0.696278223,0.963965452,NA,NA,NA,NA
"63","tg_rliver_repeat_acetaminophen_t8_c2","acetaminophen",2,600,"mg/kg",8,"repeat",29,"day",-0.16,0.895025071,0.199463625,0.714719979,0.058,1.041021598,0.762773488,0.960104038,NA,NA,NA,NA
"64","tg_rliver_repeat_acetaminophen_t8_c3","acetaminophen",3,1000,"mg/kg",8,"repeat",29,"day",-0.366,0.775930854,0.041027644,0.363663609,-0.222,0.857376037,0.353902761,0.746249509,"no","yes","no","no"
"65","tg_rliver_repeat_acetazolamide_t5_c1","acetazolamide",1,60,"mg/kg",5,"repeat",4,"day",-0.394,0.76101669,0.215904411,0.908610674,-0.355,0.781869643,0.047325881,0.873750949,NA,NA,NA,NA
